clean_prompt,corrupted_prompt
The aardvark has a habitat of savanna.,The aardvark has a habitat of urban/wild.
The aardvark uses walking for locomotion.,The aardvark uses walking/swimming for locomotion.
The alpaca has a diet of herbivore.,The alpaca has a diet of omnivore.
The alpaca has a habitat of mountain.,The alpaca has a habitat of various.
The alpaca uses walking for locomotion.,The alpaca uses swimming for locomotion.
The armadillo has a diet of insectivore.,The armadillo has a diet of herbivore.
The armadillo has a habitat of various.,The armadillo has a habitat of mountain bamboo forest.
The armadillo uses walking for locomotion.,The armadillo uses swimming for locomotion.
The axolotl has a diet of carnivore.,The axolotl has a diet of herbivore.
The axolotl has a habitat of freshwater.,The axolotl has a habitat of coastal.
The axolotl uses swimming for locomotion.,The axolotl uses swimming/flying for locomotion.
The bat has a diet of varies.,The bat has a diet of insectivore.
The bat has a habitat of various.,The bat has a habitat of grassland.
The bat uses flying for locomotion.,The bat uses walking for locomotion.
The beaver has a diet of herbivore.,The beaver has a diet of carnivore.
The beaver has a habitat of freshwater.,The beaver has a habitat of forest/grassland.
The beaver uses swimming for locomotion.,The beaver uses walking for locomotion.
The bee has a diet of nectar.,The bee has a diet of herbivore.
The bee has a habitat of various.,The bee has a habitat of urban/wild.
The bee uses flying for locomotion.,The bee uses walking for locomotion.
The bison has a diet of herbivore.,The bison has a diet of carnivore.
The bison has a habitat of grassland.,The bison has a habitat of various.
The bison uses walking for locomotion.,The bison uses walking/swimming for locomotion.
The camel has a diet of herbivore.,The camel has a diet of varies.
The camel has a habitat of desert.,The camel has a habitat of domestic/urban.
The camel uses walking for locomotion.,The camel uses flying for locomotion.
The cassowary has a diet of omnivore.,The cassowary has a diet of carnivore.
The cassowary has a habitat of forest.,The cassowary has a habitat of marine.
The cassowary uses running for locomotion.,The cassowary uses walking/swimming for locomotion.
The cat has a diet of carnivore.,The cat has a diet of omnivore.
The cat has a habitat of domestic/urban.,The cat has a habitat of various.
The cat uses walking for locomotion.,The cat uses running for locomotion.
The cheetah has a diet of carnivore.,The cheetah has a diet of varies.
The cheetah has a habitat of grassland.,The cheetah has a habitat of marine.
The cheetah uses running for locomotion.,The cheetah uses walking for locomotion.
The chicken has a diet of omnivore.,The chicken has a diet of herbivore.
The chicken has a habitat of farmland/urban.,The chicken has a habitat of various.
The chicken uses walking for locomotion.,The chicken uses swimming for locomotion.
The chimpanzee has a diet of omnivore.,The chimpanzee has a diet of carnivore.
The chimpanzee has a habitat of forest.,The chimpanzee has a habitat of mountain.
The chimpanzee uses walking for locomotion.,The chimpanzee uses knuckle-walking for locomotion.
The cow has a diet of herbivore.,The cow has a diet of  carnivore.
The cow has a habitat of farmland.,The cow has a habitat of forest/urban.
The cow uses walking for locomotion.,The cow uses flying for locomotion.
The crocodile has a diet of  carnivore.,The crocodile has a diet of carnivore.
The crocodile has a habitat of freshwater.,The crocodile has a habitat of various.
The crocodile uses walking/swimming for locomotion.,The crocodile uses walking for locomotion.
The deer has a diet of herbivore.,The deer has a diet of insectivore.
The deer has a habitat of forest/grassland.,The deer has a habitat of forest/urban.
The deer uses walking for locomotion.,The deer uses flying for locomotion.
The dog has a diet of omnivore.,The dog has a diet of carnivore.
The dog has a habitat of domestic/urban.,The dog has a habitat of freshwater.
The dog uses walking for locomotion.,The dog uses knuckle-walking for locomotion.
The dolphin has a diet of carnivore.,The dolphin has a diet of omnivore.
The dolphin has a habitat of marine.,The dolphin has a habitat of urban/old-world habitats.
The dolphin uses swimming for locomotion.,The dolphin uses walking for locomotion.
The eagle has a diet of carnivore.,The eagle has a diet of herbivore.
The eagle has a habitat of various.,The eagle has a habitat of urban/wild.
The eagle uses flying for locomotion.,The eagle uses swimming for locomotion.
The elephant has a diet of herbivore.,The elephant has a diet of carnivore.
The elephant has a habitat of terrestrial.,The elephant has a habitat of grassland.
The elephant uses walking for locomotion.,The elephant uses flying for locomotion.
The flamingo has a diet of herbivore.,The flamingo has a diet of omnivore.
The flamingo has a habitat of coastal/alkaline lakes.,The flamingo has a habitat of mountain bamboo forest.
