clean_prompt,corrupted_prompt
Actinium has the atomic number of 89.,Actinium has the atomic number of 62.
Actinium is a radioactive element used as a neutron source and in some cancer treatments.,Actinium is used in magnets and lasers.
Actinium is in the Actinide group.,Actinium is in the Post-transition metal group.
Actinium appears in its standard state as Solid.,Actinium appears in its standard state as Gas.
Actinium has the symbol Ac.,Actinium has the symbol Ar.
Aluminum has the atomic number of 13.,Aluminum has the atomic number of 36.
"Aluminum is a lightweight, corrosion-resistant metal used in many applications.",Aluminum is used in MRI contrast agents and X-ray tubes.
Aluminum is in the Post-transition metal group.,Aluminum is in the Lanthanide group.
Aluminum appears in its standard state as Solid.,Aluminum appears in its standard state as Gas.
Aluminum has the symbol Al.,Aluminum has the symbol Sc.
Antimony has the atomic number of 51.,Antimony has the atomic number of 21.
Antimony is used in flame retardants and some semiconductors.,Antimony is used in camera lenses and some batteries.
Antimony is in the Metalloid group.,Antimony is in the Noble gas group.
Antimony appears in its standard state as Solid.,Antimony appears in its standard state as Liquid.
Antimony has the symbol Sb.,Antimony has the symbol Al.
Argon has the atomic number of 18.,Argon has the atomic number of 12.
Argon is a noble gas used as an inert atmosphere in welding and other applications.,Argon is the lightest radioactive element and is used in medical imaging.
Argon is in the Noble gas group.,Argon is in the Lanthanide group.
Argon appears in its standard state as Gas.,Argon appears in its standard state as Solid.
Argon has the symbol Ar.,Argon has the symbol Co.
Arsenic has the atomic number of 33.,Arsenic has the atomic number of 53.
Arsenic is a toxic element used in pesticides and some alloys.,Arsenic is used in lasers and magnetic refrigeration.
Arsenic is in the Metalloid group.,Arsenic is in the Nonmetal group.
Arsenic appears in its standard state as Solid.,Arsenic appears in its standard state as Liquid.
Arsenic has the symbol As.,Arsenic has the symbol Re.
Astatine has the atomic number of 85.,Astatine has the atomic number of 7.
Astatine is in the Halogen group.,Astatine is in the Actinide group.
Astatine appears in its standard state as Solid.,Astatine appears in its standard state as Gas.
Astatine has the symbol At.,Astatine has the symbol Mg.
Barium has the atomic number of 56.,Barium has the atomic number of 81.
Barium is used in medical imaging and fireworks.,Barium is used in touchscreens and some semiconductors.
Barium is in the Alkaline earth metal group.,Barium is in the Lanthanide group.
Barium appears in its standard state as Solid.,Barium appears in its standard state as Gas.
Barium has the symbol Ba.,Barium has the symbol Sb.
Beryllium has the atomic number of 4.,Beryllium has the atomic number of 36.
"Beryllium is a lightweight, strong metal used in aerospace and other applications.",Beryllium is used in the production of glass and ceramics.
Beryllium is in the Alkaline earth metal group.,Beryllium is in the Actinide group.
Beryllium appears in its standard state as Solid.,Beryllium appears in its standard state as Gas.
Beryllium has the symbol Be.,Beryllium has the symbol As.
Bismuth has the atomic number of 83.,Bismuth has the atomic number of 55.
"Bismuth is a low-toxicity heavy metal used in cosmetics, some alloys, and pharmaceuticals.",Bismuth is used in solder and pewter.
Bismuth is in the Post-transition metal group.,Bismuth is in the Alkali metal group.
Bismuth appears in its standard state as Solid.,Bismuth appears in its standard state as Gas.
Bismuth has the symbol Bi.,Bismuth has the symbol La.
Boron has the atomic number of 5.,Boron has the atomic number of 70.
Boron is used in the production of glass and ceramics.,Boron is used in lasers and magnetic refrigeration.
Boron is in the Metalloid group.,Boron is in the Post-transition metal group.
Boron appears in its standard state as Solid.,Boron appears in its standard state as Gas.
Boron has the symbol B.,Boron has the symbol Pm.
Bromine has the atomic number of 35.,Bromine has the atomic number of 64.
Bromine is used in flame retardants and as a fumigant.,Bromine is an essential component of proteins and DNA.
Bromine is in the Halogen group.,Bromine is in the Noble gas group.
Bromine appears in its standard state as Liquid.,Bromine appears in its standard state as Solid.
Bromine has the symbol Br.,Bromine has the symbol Mo.
Cadmium has the atomic number of 48.,Cadmium has the atomic number of 37.
