statement,label
The aardvark has a diet of omnivore.,0
The alpaca has a diet of herbivore.,1
The alpaca has a diet of omnivore.,0
The armadillo has a diet of herbivore.,0
The armadillo has a diet of insectivore.,1
The axolotl has a diet of carnivore.,1
The axolotl has a diet of herbivore.,0
The bat has a diet of insectivore.,0
The bat has a diet of varies.,1
The beaver has a diet of carnivore.,0
The beaver has a diet of herbivore.,1
The bee has a diet of herbivore.,0
The bee has a diet of nectar.,1
The bison has a diet of carnivore.,0
The bison has a diet of herbivore.,1
The camel has a diet of herbivore.,1
The camel has a diet of varies.,0
The cassowary has a diet of carnivore.,0
The cassowary has a diet of omnivore.,1
The cat has a diet of carnivore.,1
The cat has a diet of omnivore.,0
The cheetah has a diet of carnivore.,1
The cheetah has a diet of varies.,0
The chicken has a diet of herbivore.,0
The chicken has a diet of omnivore.,1
The chimpanzee has a diet of carnivore.,0
The chimpanzee has a diet of omnivore.,1
The cow has a diet of  carnivore.,0
The cow has a diet of herbivore.,1
The crocodile has a diet of  carnivore.,1
The crocodile has a diet of carnivore.,0
The deer has a diet of herbivore.,1
The deer has a diet of insectivore.,0
The dog has a diet of carnivore.,0
The dog has a diet of omnivore.,1
The dolphin has a diet of carnivore.,1
The dolphin has a diet of omnivore.,0
The eagle has a diet of carnivore.,1
The eagle has a diet of herbivore.,0
The elephant has a diet of carnivore.,0
The elephant has a diet of herbivore.,1
The flamingo has a diet of herbivore.,1
The flamingo has a diet of omnivore.,0
The frog has a diet of carnivore.,1
The frog has a diet of omnivore.,0
The gazelle has a diet of carnivore.,0
The gazelle has a diet of herbivore.,1
The gecko has a diet of herbivore.,0
The gecko has a diet of insectivore.,1
The giant anteater has a diet of carnivore.,0
The giant anteater has a diet of insectivore.,1
The giraffe has a diet of carnivore.,0
The giraffe has a diet of herbivore.,1
The goat has a diet of herbivore.,1
The goat has a diet of omnivore.,0
The goldfish has a diet of carnivore.,0
The goldfish has a diet of omnivore.,1
The gorilla has a diet of carnivore.,0
The gorilla has a diet of herbivore.,1
The hamster has a diet of herbivore.,0
The hamster has a diet of omnivore.,1
The hedgehog has a diet of herbivore.,0
The hedgehog has a diet of insectivore.,1
The hippopotamus has a diet of carnivore.,0
The hippopotamus has a diet of herbivore.,1
The horse has a diet of herbivore.,1
The horse has a diet of omnivore.,0
The hummingbird has a diet of nectar.,1
The hummingbird has a diet of omnivore.,0
The hyena has a diet of carnivore.,1
The hyena has a diet of herbivore.,0
The iguana has a diet of carnivore.,0
The iguana has a diet of herbivore.,1
The jellyfish has a diet of carnivore.,1
The jellyfish has a diet of herbivore.,0
The kangaroo has a diet of carnivore.,0
The kangaroo has a diet of herbivore.,1
The koala has a diet of carnivore.,0
The koala has a diet of herbivore.,1
The leopard has a diet of carnivore.,1
The leopard has a diet of herbivore.,0
The lion has a diet of carnivore.,1
The lion has a diet of omnivore.,0
The llama has a diet of herbivore.,1
The llama has a diet of insectivore.,0
The lobster has a diet of nectar.,0
The lobster has a diet of omnivore.,1
The manta ray has a diet of carnivore.,1
The manta ray has a diet of omnivore.,0
The mongoose has a diet of carnivore.,1
The mongoose has a diet of herbivore.,0
The moose has a diet of herbivore.,1
The moose has a diet of omnivore.,0
The narwhal has a diet of carnivore.,1
The narwhal has a diet of herbivore.,0
The octopus has a diet of carnivore.,1
The octopus has a diet of insectivore.,0
The ostrich has a diet of herbivore.,1
The ostrich has a diet of omnivore.,0
The otter has a diet of carnivore.,1
The otter has a diet of herbivore.,0
The panda has a diet of carnivore.,0
The panda has a diet of herbivore.,1
The parrot has a diet of carnivore.,0
The parrot has a diet of omnivore.,1
The peacock has a diet of herbivore.,0
The peacock has a diet of omnivore.,1
The penguin has a diet of carnivore.,1
The penguin has a diet of herbivore.,0
The pigeon has a diet of herbivore.,1
The pigeon has a diet of omnivore.,0
The platypus has a diet of  carnivore.,0
The platypus has a diet of carnivore.,1
The polar bear has a diet of carnivore.,1
The polar bear has a diet of omnivore.,0
The porcupine has a diet of carnivore.,0
The porcupine has a diet of herbivore.,1
The rabbit has a diet of carnivore.,0
The rabbit has a diet of herbivore.,1
The raccoon has a diet of carnivore.,0
The raccoon has a diet of omnivore.,1
The rat has a diet of herbivore.,0
The rat has a diet of omnivore.,1
The rhinoceros has a diet of herbivore.,1
The rhinoceros has a diet of omnivore.,0
The salmon has a diet of carnivore.,1
The salmon has a diet of herbivore.,0
The sea turtle has a diet of carnivore.,0
The sea turtle has a diet of varies.,1
The seagull has a diet of herbivore.,0
The seagull has a diet of omnivore.,1
The seahorse has a diet of carnivore.,1
The seahorse has a diet of insectivore.,0
The shark has a diet of carnivore.,1
The shark has a diet of herbivore.,0
The skunk has a diet of herbivore.,0
The skunk has a diet of omnivore.,1
The slug has a diet of carnivore.,0
The slug has a diet of herbivore.,1
The snake has a diet of carnivore.,1
The snake has a diet of herbivore.,0
The sparrow has a diet of herbivore.,0
The sparrow has a diet of omnivore.,1
The squirrel has a diet of herbivore.,1
The squirrel has a diet of omnivore.,0
The swan has a diet of herbivore.,1
The swan has a diet of omnivore.,0
The tapir has a diet of carnivore.,0
The tapir has a diet of herbivore.,1
The tarantula has a diet of carnivore.,0
The tarantula has a diet of insectivore.,1
The tiger has a diet of carnivore.,1
The tiger has a diet of herbivore.,0
The tortoise has a diet of  carnivore.,0
The tortoise has a diet of herbivore.,1
The tuna has a diet of carnivore.,1
The tuna has a diet of insectivore.,0
The vulture has a diet of carnivore.,1
The vulture has a diet of insectivore.,0
The walrus has a diet of carnivore.,1
The walrus has a diet of insectivore.,0
The whale has a diet of carnivore/herbivore.,1
The whale has a diet of herbivore.,0
The wolverine has a diet of carnivore.,1
The wolverine has a diet of herbivore.,0
The zebra has a diet of herbivore.,1
The zebra has a diet of insectivore.,0
The aardvark has a habitat of savanna.,1
The aardvark has a habitat of urban/wild.,0
The alpaca has a habitat of mountain.,1
The alpaca has a habitat of various.,0
The armadillo has a habitat of mountain bamboo forest.,0
The armadillo has a habitat of various.,1
The axolotl has a habitat of coastal.,0
The axolotl has a habitat of freshwater.,1
The bat has a habitat of grassland.,0
The bat has a habitat of various.,1
The beaver has a habitat of forest/grassland.,0
The beaver has a habitat of freshwater.,1
The bee has a habitat of urban/wild.,0
The bee has a habitat of various.,1
The bison has a habitat of grassland.,1
